2026-02-15 16:20:40 | INFO     | QuantBot.src.notification.telegram | Telegram 通知已啟用: chat_id=
2026-02-15 16:20:40 | INFO     | QuantBot.__main__ | 正在啟動 QuantBot...
2026-02-15 16:20:40 | INFO     | QuantBot.src.data.simulator | 🎮 市場模擬器初始化: enabled=True
2026-02-15 16:20:40 | INFO     | QuantBot.src.data.fetcher | 🎮 已初始化模擬交易所: ['mexc', 'bitget']
2026-02-15 16:20:40 | INFO     | QuantBot.src.data.fetcher | 🎮 模擬模式啟動
2026-02-15 16:22:07 | INFO     | QuantBot.src.notification.telegram | Telegram 通知已啟用: chat_id=
2026-02-15 16:22:07 | INFO     | QuantBot.__main__ | 正在啟動 QuantBot...
2026-02-15 16:22:07 | INFO     | QuantBot.src.data.simulator | 🎮 市場模擬器初始化: enabled=True
2026-02-15 16:22:07 | INFO     | QuantBot.src.data.fetcher | 🎮 已初始化模擬交易所: ['mexc', 'bitget']
2026-02-15 16:22:07 | INFO     | QuantBot.src.data.fetcher | 🎮 模擬模式啟動
2026-02-15 16:22:07 | INFO     | QuantBot.src.trading.smart_trader | SmartTrader 初始化完成
2026-02-15 16:22:07 | INFO     | QuantBot.src.risk.manager | 風險管理器初始化: 止損2.0%, 止盈1.5%
2026-02-15 16:24:10 | INFO     | QuantBot.src.notification.telegram | Telegram 通知已啟用: chat_id=
2026-02-15 16:24:10 | INFO     | QuantBot.__main__ | 正在啟動 QuantBot...
2026-02-15 16:24:10 | INFO     | QuantBot.src.data.simulator | 🎮 市場模擬器初始化: enabled=True
2026-02-15 16:24:10 | INFO     | QuantBot.src.data.fetcher | 🎮 已初始化模擬交易所: ['mexc', 'bitget']
2026-02-15 16:24:10 | INFO     | QuantBot.src.data.fetcher | 🎮 模擬模式啟動
2026-02-15 16:24:10 | INFO     | QuantBot.src.trading.smart_trader | SmartTrader 初始化完成
2026-02-15 16:24:10 | INFO     | QuantBot.src.risk.manager | 風險管理器初始化: 止損2.0%, 止盈1.5%
2026-02-15 16:24:22 | INFO     | QuantBot.src.notification.telegram | Telegram 通知已啟用: chat_id=
2026-02-15 16:24:22 | INFO     | QuantBot.__main__ | 正在啟動 QuantBot...
2026-02-15 16:24:22 | INFO     | QuantBot.src.data.simulator | 🎮 市場模擬器初始化: enabled=True
2026-02-15 16:24:22 | INFO     | QuantBot.src.data.fetcher | 🎮 已初始化模擬交易所: ['mexc', 'bitget']
2026-02-15 16:24:22 | INFO     | QuantBot.src.data.fetcher | 🎮 模擬模式啟動
2026-02-15 16:24:22 | INFO     | QuantBot.src.trading.smart_trader | SmartTrader 初始化完成
2026-02-15 16:24:22 | INFO     | QuantBot.src.risk.manager | 風險管理器初始化: 止損2.0%, 止盈1.5%
2026-02-15 16:30:14 | INFO     | QuantBot.src.notification.telegram | Telegram 通知已啟用: chat_id=
2026-02-15 16:30:14 | INFO     | QuantBot.__main__ | 正在啟動 QuantBot...
2026-02-15 16:30:14 | INFO     | QuantBot.src.data.simulator | 🎮 市場模擬器初始化: enabled=True
2026-02-15 16:30:14 | INFO     | QuantBot.src.data.fetcher | 🎮 已初始化模擬交易所: ['mexc', 'bitget']
2026-02-15 16:30:14 | INFO     | QuantBot.src.data.fetcher | 🎮 模擬模式啟動
2026-02-15 16:30:14 | INFO     | QuantBot.src.trading.smart_trader | SmartTrader 初始化完成
2026-02-15 16:30:14 | INFO     | QuantBot.src.risk.manager | 風險管理器初始化: 止損2.0%, 止盈1.5%
2026-02-15 16:30:14 | INFO     | QuantBot.src.strategy.arbitrage | 🤖 套利策略初始化: mexc ↔ bitget
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | ✅ 交易所間套利策略已啟用
2026-02-15 16:30:14 | INFO     | QuantBot.src.strategy.spot_futures | 📊 現貨-合約套利策略初始化
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | ✅ 現貨-合約套利策略已啟用
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | 已加載 2 個策略
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | 🌐 Web 控制面板已啟動: http://localhost:5000
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | QuantBot (AI版) 初始化完成
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | ==================================================
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | QuantBot AI 版啟動
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | 🎮 模式: 模擬交易 (測試中)
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | ==================================================
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | ✓ mexc 已連接
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | ✓ bitget 已連接
2026-02-15 16:30:14 | INFO     | QuantBot.src.core.bot | 已設定 3 個排程任務
2026-02-15 16:30:17 | WARNING  | QuantBot.src.strategy.arbitrage | 分析 BTC/USDT 時發生錯誤: 'MockExchangeClient' object has no attribute 'fetch_orderbook'
2026-02-15 16:30:17 | WARNING  | QuantBot.src.strategy.arbitrage | 分析 ETH/USDT 時發生錯誤: 'MockExchangeClient' object has no attribute 'fetch_orderbook'
2026-02-15 16:30:17 | WARNING  | QuantBot.src.strategy.arbitrage | 分析 SOL/USDT 時發生錯誤: 'MockExchangeClient' object has no attribute 'fetch_orderbook'
2026-02-15 16:30:20 | WARNING  | QuantBot.src.strategy.arbitrage | 分析 BTC/USDT 時發生錯誤: 'MockExchangeClient' object has no attribute 'fetch_orderbook'
2026-02-15 16:30:20 | WARNING  | QuantBot.src.strategy.arbitrage | 分析 ETH/USDT 時發生錯誤: 'MockExchangeClient' object has no attribute 'fetch_orderbook'
